"","cum.per.plant","loc.id","year.id","time.id"
"1",0.051,7,4,2
"2",0.263,7,4,3
"3",0.66,7,4,4
"4",0.807,7,4,5
"5",0.91,7,4,6
"6",0.981,7,4,7
"7",1,7,4,8
"8",0.012,7,3,1
"9",0.07,7,3,2
"10",0.256,7,3,3
"11",0.47,7,3,4
"12",0.731,7,3,5
"13",0.9,7,3,6
"14",0.989,7,3,7
"15",1,7,3,8
"16",0.022,7,2,2
"17",0.203,7,2,3
"18",0.472,7,2,4
"19",0.777,7,2,5
"20",0.95,7,2,6
"21",0.991,7,2,7
"22",1,7,2,8
"23",0.005,7,1,1
"24",0.03,7,1,2
"25",0.222,7,1,3
"26",0.46,7,1,4
"27",0.773,7,1,5
"28",0.97,7,1,6
"29",0.989,7,1,7
"30",1,7,1,8
"31",0.06,9,4,4
"32",0.28,9,4,5
"33",0.77,9,4,6
"34",0.92,9,4,7
"35",1,9,4,8
"36",0.03,9,3,3
"37",0.14,9,3,4
"38",0.46,9,3,5
"39",0.85,9,3,6
"40",0.99,9,3,7
"41",1,9,3,8
"42",0.06,9,2,4
"43",0.27,9,2,5
"44",0.63,9,2,6
"45",0.95,9,2,7
"46",1,9,2,8
"47",0.04,9,1,3
"48",0.14,9,1,4
"49",0.36,9,1,5
"50",0.78,9,1,6
"51",0.98,9,1,7
"52",1,9,1,8
"53",0.05,10,4,2
"54",0.17,10,4,3
"55",0.35,10,4,4
"56",0.67,10,4,5
"57",0.86,10,4,6
"58",0.98,10,4,7
"59",1,10,4,8
"60",0.07,10,3,3
"61",0.28,10,3,4
"62",0.62,10,3,5
"63",0.9,10,3,6
"64",1,10,3,7
"65",0.05,10,2,3
"66",0.22,10,2,4
"67",0.51,10,2,5
"68",0.81,10,2,6
"69",0.99,10,2,7
"70",1,10,2,8
"71",0.09,10,1,3
"72",0.2,10,1,4
"73",0.46,10,1,5
"74",0.83,10,1,6
"75",1,10,1,7
"76",0.08,11,4,3
"77",0.26,11,4,4
"78",0.66,11,4,5
"79",0.93,11,4,6
"80",0.99,11,4,7
"81",1,11,4,8
"82",0.02,11,3,2
"83",0.12,11,3,3
"84",0.31,11,3,4
"85",0.61,11,3,5
"86",0.95,11,3,6
"87",1,11,3,7
"88",0.05,11,2,2
"89",0.21,11,2,3
"90",0.49,11,2,4
"91",0.81,11,2,5
"92",0.92,11,2,6
"93",0.98,11,2,7
"94",1,11,2,8
"95",0.01,11,1,2
"96",0.1,11,1,3
"97",0.31,11,1,4
"98",0.68,11,1,5
"99",0.93,11,1,6
"100",1,11,1,7
"101",0.02,6,4,3
"102",0.14,6,4,4
"103",0.52,6,4,5
"104",0.8,6,4,6
"105",0.93,6,4,7
"106",1,6,4,8
"107",0.01,6,3,3
"108",0.15,6,3,4
"109",0.41,6,3,5
"110",0.74,6,3,6
"111",0.91,6,3,7
"112",1,6,3,8
"113",0.11,6,2,3
"114",0.31,6,2,4
"115",0.7,6,2,5
"116",0.85,6,2,6
"117",0.95,6,2,7
"118",1,6,2,8
"119",0.02,6,1,3
"120",0.1,6,1,4
"121",0.56,6,1,5
"122",0.88,6,1,6
"123",0.99,6,1,7
"124",1,6,1,8
"125",0.06,2,4,3
"126",0.19,2,4,4
"127",0.59,2,4,5
"128",0.91,2,4,6
"129",1,2,4,7
"130",0.01,2,3,2
"131",0.12,2,3,3
"132",0.39,2,3,4
"133",0.7,2,3,5
"134",0.96,2,3,6
"135",1,2,3,7
"136",0.09,2,2,3
"137",0.28,2,2,4
"138",0.67,2,2,5
"139",0.89,2,2,6
"140",1,2,2,7
"141",0.12,2,1,3
"142",0.3,2,1,4
"143",0.67,2,1,5
"144",0.88,2,1,6
"145",1,2,1,7
"146",0.01,4,4,2
"147",0.2,4,4,3
"148",0.62,4,4,4
"149",0.88,4,4,5
"150",0.98,4,4,6
"151",1,4,4,7
"152",0.04,4,3,2
"153",0.23,4,3,3
"154",0.56,4,3,4
"155",0.83,4,3,5
"156",0.99,4,3,6
"157",1,4,3,7
"158",0.01,4,2,2
"159",0.16,4,2,3
"160",0.55,4,2,4
"161",0.83,4,2,5
"162",1,4,2,6
"163",0.02,4,1,2
"164",0.22,4,1,3
"165",0.63,4,1,4
"166",0.91,4,1,5
"167",1,4,1,6
"168",0.017,5,4,2
"169",0.143,5,4,3
"170",0.38,5,4,4
"171",0.837,5,4,5
"172",0.956,5,4,6
"173",1,5,4,7
"174",0.02,5,3,2
"175",0.086,5,3,3
"176",0.204,5,3,4
"177",0.672,5,3,5
"178",0.933,5,3,6
"179",1,5,3,7
"180",0.008,5,2,2
"181",0.091,5,2,3
"182",0.506,5,2,4
"183",0.86,5,2,5
"184",0.972,5,2,6
"185",1,5,2,7
"186",0.018,5,1,2
"187",0.174,5,1,3
"188",0.503,5,1,4
"189",0.778,5,1,5
"190",0.974,5,1,6
"191",1,5,1,7
"192",0.01,1,4,4
"193",0.19,1,4,5
"194",0.57,1,4,6
"195",0.78,1,4,7
"196",0.88,1,4,8
"197",0.95,1,4,9
"198",1,1,4,10
"199",0.06,1,3,4
"200",0.28,1,3,5
"201",0.65,1,3,6
"202",0.88,1,3,7
"203",1,1,3,8
"204",0.03,1,2,4
"205",0.17,1,2,5
"206",0.53,1,2,6
"207",0.82,1,2,7
"208",1,1,2,8
"209",0.01,1,1,3
"210",0.09,1,1,4
"211",0.34,1,1,5
"212",0.71,1,1,6
"213",0.9,1,1,7
"214",1,1,1,8
"215",0.1,12,4,5
"216",0.43,12,4,6
"217",0.79,12,4,7
"218",0.98,12,4,8
"219",1,12,4,9
"220",0.03,12,3,4
"221",0.22,12,3,5
"222",0.63,12,3,6
"223",0.87,12,3,7
"224",1,12,3,8
"225",0.07,12,2,4
"226",0.29,12,2,5
"227",0.69,12,2,6
"228",0.92,12,2,7
"229",1,12,2,8
"230",0.03,12,1,4
"231",0.26,12,1,5
"232",0.62,12,1,6
"233",0.89,12,1,7
"234",1,12,1,8
"235",0.09,3,4,6
"236",0.2,3,4,7
"237",0.37,3,4,8
"238",0.71,3,4,9
"239",1,3,4,10
"240",0.07,3,3,4
"241",0.2,3,3,5
"242",0.59,3,3,6
"243",0.84,3,3,7
"244",0.96,3,3,8
"245",1,3,3,9
"246",0.06,3,2,4
"247",0.18,3,2,5
"248",0.63,3,2,6
"249",0.86,3,2,7
"250",0.94,3,2,8
"251",1,3,2,9
"252",0.08,3,1,5
"253",0.27,3,1,6
"254",0.61,3,1,7
"255",0.88,3,1,8
"256",1,3,1,9
"257",0.02,8,4,5
"258",0.18,8,4,6
"259",0.39,8,4,7
"260",0.64,8,4,8
"261",0.94,8,4,9
"262",1,8,4,10
"263",0.07,8,3,5
"264",0.23,8,3,6
"265",0.47,8,3,7
"266",0.78,8,3,8
"267",1,8,3,9
"268",0.03,8,2,5
"269",0.2,8,2,6
"270",0.46,8,2,7
"271",0.79,8,2,8
"272",1,8,2,9
"273",0.07,8,1,4
"274",0.17,8,1,5
"275",0.31,8,1,6
"276",0.59,8,1,7
"277",0.71,8,1,8
"278",0.93,8,1,9
"279",1,8,1,10
